Window,AGRI/ REACT,Company,Latitude,Longitude,Country,Town,Description
ZIM,AGRI,Expert Decision Systems Zimbabwe (Pvt) Limited,-17.8251657,31.03351,Zimbabwe,Harare,
GW,AGRI,Export Trading Company,,,Tanzania,,"The company owns and manages one of the most vertically integrated agriculture supply chains on the African subcontinent. With support from AECF - ETG seeks to add value to the pigeon pea sector through the introduction of a processing plant, promotion of improved cultivars and crop husbandry."
RIB,AGRI,FAIM Africa Ltd,-1.9705786,30.1044288,Rwanda,Kigali,
AAW,AGRI,Farm Support Limited,0.3475964,32.5825197,Uganda,Kampala,
AAW,AGRI,Farmarama,-15.3875259,28.3228165,Zambia,Lusaka,
REACT,REACT,Fenix International Inc.,0.3475964,32.5825197,Uganda,Kampala,
REACT,REACT,Field Masters Ltd,-3.3869254,36.6829927,Tanzania,Arusha,
REACT,REACT,Fortune CP Ltd,-14.5295463,34.0836297,Mozambique,Domue,
PCW,AGRI,Freshco Kenya Ltd,,,D.R. Congo,,"A seed company involved in producing, processing and distributing high quality seeds and planting materials to the farming community in Kenya and the East and Central Africa region at large. With support from AECF the company seeks to establish a central nursery and other auxiliary nurseries to produce high quality, high yield grafted seedlings, transfer knowledge & technologies and to catalyse the process of outreach and adoption of macadamia nut technologies in DRC."
SSW,AGRI,Frontier Microfinance Ltd,4.4102396,32.5740376,South Sudan,Torit,
REACT,REACT,FuturEnergy,,,Kenya,,
SSW,AGRI,Garden of Eden Co. Ltd,4.859363,31.57125,South Sudan,Juba,"A company incorporated in South Sudan that aims to establish a maize mill to service the Central Equatorial State of the Republic of South Sudan. The company will produce maize on its farms and also buy from smallholder farmers, process, package and take the finished products to market."
REACT,REACT,Gesto Energia,-25.8796918,32.4326753,Mozambique,Tchumene,
REACT,REACT,Global Supply Solutions Ltd,-1.2920659,36.8219462,Kenya,Nairobi,
PCW,AGRI,Goldtree (SL) Ltd,8.2802196,-10.5718086,Sierra Leone,Kailahun,
GW,AGRI,Gourmet Gardens,-0.7917729,29.0459927,DRC,Kivu North,
TZAW,AGRI,Greenbelt Fertiliser Ltd,-6.792354,39.2083284,Tanzania,Dar es Salaam,
GW,AGRI,Guinness Cameroon ASA,4.0510564,9.7678687,Cameroon,Douala,
PCW,AGRI,Habo fish andTuna Canning Factory,11.9650051,50.7553059,Somalia,Alula-Bari,"A tuna canning company that sources its fish from local fishermen fishing in the Gulf of Aden. With support from AECF, the company will add sardines to its canning line to allow it to operate the whole year. This will involve an increase in capacity; electricity supply, processing space, jetty extensions, purchase of a slurry ice machinery and growing the workforce"
SSW,AGRI,Honey Care Africa Ltd,,,South Sudan,,
PCW,AGRI,"Huilerie - Plantations - Élevages du Kwilu-Kwango, sprl",-5.1188825,18.4276047,D.R. Congo,Kwilu,
REACT,REACT,Husk Power Systems,,,Tanzania,,
ZIM,AGRI,IETC Zimbabwe (Pvt) Ltd,-33.9789129,18.4483763,Zimbabwe,Newlands,An agricultural firm based in Zimbabwe building soya bean processing facility that will source from smallholder farmers in an establihed outgrower scheme to produce Tasty Soya Pieces – TSP.
GW,AGRI,Illovo Sugar,4.0224656,9.1954432,Malawi,Limbe,
TZAW,AGRI,International Tanfeeds Ltd,-6.8277556,37.6591144,Tanzania,Morogoro,-6.8277556
REACT,REACT,Inyenyeri - A Rwandan Social Benefit Company,-1.9705786,30.1044288,Rwanda,Kigali,-1.9705786
PCW,AGRI,"Kaah Express Financial Services, Inc.",9.7865881,49.3653149,Somalia,Puntland,9.7865881
ZIM,AGRI,KAITE pvt. ltd,-17.8251657,31.03351,Zimbabwe,Harare,-17.8251657
ZIM,AGRI,Kencor Management Services (Pvt) Ltd,-17.8251657,31.03351,Zimbabwe,Harare,-17.8251657
GW,AGRI,Kenya Biologics Ltd,-1.0387569,37.0833753,Kenya,Thika,-1.0387569
AAW,AGRI,Kenya Highland Seed Co. Ltd,-1.4752891,36.9620104,Kenya,Kitengela,-1.4752891
ZIM,AGRI,Kettex (Pvt) Ltd,-17.8251657,31.03351,Zimbabwe,Harare,-17.8251657
REACT,REACT,KGN Bio-Fuels Private Ltd,-1.2920659,36.8219462,Kenya,Narobi,-1.2920659
AAW,AGRI,Kigali Farms,-1.5791079,30.0694123,Rwanda,Byumba,
TZAW,AGRI,Kilimo Markets,-3.6809961,33.4271403,Tanzania,Shinyanga,
TZAW,AGRI,Kilombero Plantations Ltd,33.7874398,132.7113752,Tanzania,Masaki,
AAW,AGRI,Kisima Farm Limited,46.5837903,13.0039598,Kenya,Timau,
REACT,REACT,Kiwia & Laustsen Limited,-3.3454038,35.6696802,Tanzania,Karatu,
RIB,AGRI,Klein Karoo,-33.6007225,22.2026347,South Africa,Oudtshoorn,
ZIM,AGRI,KM Financial Solutions,-17.8251657,31.03351,Zimbabwe,Harare,
REACT,REACT,La Terre Ltd.,-0.7171778,36.4310251,Kenya,Naivasha,
GW,AGRI,Lachlan Kenya Ltd,-1.2920659,36.8219462,Kenya,Nairobi,
PCW,AGRI,LAYUKA S.P.R.L.,-4.9846384,15.133205,D.R. Congo,Madimba,A privately owned agri-business company based in the Democratic Republic of Congo seeking to exploit the huge potential of cassava as a food crop. Layuka provides training to trainers and establishing practical fields.
RIB,AGRI,Leldet Ltd,-0.3030988,36.080026,Kenya,Nakuru,
PCW,AGRI,Liberia Cocoa Corporation,8.1911184,-9.7232673,Liberia,Lofa,
ZIM,AGRI,Makera Cattle Company,-17.8251657,31.03351,Zimbabwe,Harare,
ZIM,AGRI,Maraja Investments (former Paperhole),-17.8251657,31.03351,Zimbabwe,Harare,
TZAW,AGRI,Masasi High Quality Farmers Products,-10.7323902,38.8100855,Tanzania,Masasi,
TZAW,AGRI,Meat King Distributors Ltd,-3.3857758,36.7096889,Tanzania,Moshono,"A subsidiary of Meat King Limited (MK), established to build and operate a large modern Meat Processing Plant and Slaughtering Facility in Moshono, Arusha. With support from AECF, the company aims to meet the growing demand for high quality meat in Tanzania - beef, pork, lamb, chicken and fish."
AAW,AGRI,Mekelle Farms,13.4935504,39.465738,Ethiopia,Mekelle,
PCW,AGRI,MicroDahab Limited,,,Somalia,,
REACT,REACT,Microenergy Credits,,,Uganda,,
TZAW,AGRI,Misenani Agri Services Ltd,-2.5164305,32.9174517,Tanzania,Mwanza,
REACT,REACT,M-kopa,-1.2920659,36.8219462,Kenya,Nairobi,
AAW,AGRI,MM (Operations) Limited,53.5593135,9.8834028,Malawi,Salima,
REACT,REACT,Mobisol GmbH,-3.3869254,36.6829927,Tanzania,Arusha,
GW,AGRI,Money Box Africa,6.5243793,3.3792057,Nigeria,Lagos,
GW,AGRI,Monitise Plc,,,Nigeria,,
ZIM,AGRI,Montana Meats (Pvt) Ltd,-17.8251657,31.03351,Zimbabwe,Harare,"A company that purchases cattle throughout Zimbabwe both for immediate slaughter and for feeding before slaughter. With support from AECF the company facilitates and administers a feeder scheme to empower farmers, train and educate them on animal husbandry to ensure consistent supply of meat"
REACT,REACT,Mosagri Lda,-15.0368144,40.6702118,Mozambique,Lumbo,"The company is a Mozambique Sustainable Agribusiness, focusing on efficient agricultural production in order to produce high yielding crops and to sell the products to domestic, regional and international markets. With support from AECF company will establish an agro-village concept for exploitation of Moringa oleifera value chain; creating a tree nursery unit and commercial high density leaf production within nucleus and out-grower schemes."
AAW,AGRI,Mount Kenya Gardens Ltd,49.236009,2.13544,Kenya,Meru,
PCW,AGRI,Mountain Lion Agriculture (SL) Ltd,8.4656765,-13.2317225,Sierra Leone,Free Town,
REACT,REACT,Mozambique BioFuel Industries Limitada,-16.8402212,36.9648534,Mozambique,Mocuba Zambezia,The company aims to farm energy crops for ethanol production. With support from AECF the company seeks to produce ethanol from sweet sorghum and market it in Mozambique by establishing an ethanol distillation facility.
AAW,AGRI,"Mozambique Fresh Eggs, Lda",-15.1266347,39.2687161,Mozambique,Nampula,
TZAW,AGRI,MSK Solutions Ltd,-2.5164305,32.9174517,Tanzania,MWANZA,
TZAW,AGRI,Mtanga Farms Ltd,-6.792354,39.2083284,Tanzania,Dar Es Salaam,
PCW,AGRI,Neo Trading Company,9.562389,44.0770134,Somalia,HARGEISA,"An import-export trading company based in Hargeisa, Somaliland that imports gums, resins, Boswellia carterii, Commiphora myrrha and Commiphora guidetti. With support from AECF the company will establish an oil distillation plant."
AAW,AGRI,New Horizons Mozambique Limitada,-15.1266347,39.2687161,Mozambique,Nampula,"A poultry product company incorporated in Mozambique, with support from AECF the company will expand te NHM feed mill, hatchery and abattoi to increase broiler chicken output and will work with hundreds of out-growers."
ZIM,AGRI,Northern Farming,-17.8251657,31.03351,Zimbabwe,Harare,
RIB,AGRI,Notore Chemicals Industries Limited,4.815554,7.0498442,Nigeria,PORT HARCOURT,
TZAW,AGRI,Nsagali Co. Ltd,-2.8069614,33.9917222,Tanzania,BARIADI,
REACT,REACT,Nuru Energy,,,Rwanda,,
ZIM,AGRI,Nutriveg Private Ltd,-17.8251657,31.03351,Zimbabwe,Harare,
REACT,REACT,Off Grid Electric Tanzania Limited,-3.3869254,36.6829927,Tanzania,Arusha,
GW,AGRI,Olam Nigeria,6.5243793,3.3792057,Nigeria,Lagos,
PCW,AGRI,Pajah & I.J (SL) Ltd,43.392116,-81.413245,Sierra Leone,Lumley,
ZIM,AGRI,Peak Trading,-17.8251657,31.03351,Zimbabwe,Harare,
RIB,AGRI,Phoenix Limitada,-19.1054879,33.4607744,Mozambique,Chimoio,
ZIM,AGRI,Pinnker Enterprises (Pvt) Ltd T/A Farrell Furniture,54.502812,-3.1485782,Zimbabwe,Borrowdale,
REACT,REACT,PlaNet Guarantee,,,Kenya,,
ZIM,AGRI,PM Manufacturing Pvt Ltd,-17.8768372,31.0249093,Zimbabwe,Ardbennie,
ZIM,AGRI,Produtrade Pvt Ltd,-17.8251657,31.03351,Zimbabwe,Harare,
GW,AGRI,Progene Seeds,-17.8251657,31.03351,Zimbabwe,Harare,
GW,AGRI,Quality foods,-3.3869254,36.6829927,Tanzania,Arusha,
GW,AGRI,Real IPM,-1.0387569,37.0833753,Kenya,Thika,
AAW,AGRI,Reliance Financial Services Gambia Limited,13.4548761,-16.5790323,Gambia,Banjul,
AAW,AGRI,Rent-to-Own Zambia Limited,-15.3875259,28.3228165,Zambia,Lusaka,
GW,AGRI,Rift Valley Products,-0.3030988,36.080026,Kenya,Nakuru,
REACT,REACT,RIWIK Wind Energy B.V,-1.2920659,36.8219462,Kenya,Nairobi,
TZAW,AGRI,Ruaha Farms Limited,-7.768059,35.6860723,Tanzania,Iringa,
RIB,AGRI,Rugombo Agro-industrial Complex,-2.816484,29.0794468,Burundi,Rugombo,
GW,AGRI,Rungwe Avocado Co. Ltd,-6.792354,39.2083284,Tanzania,Dar es Salaam,
ZIM,AGRI,Sable Park Enterprises,-18.1380146,30.147383,Zimbabwe,Chegutu,"The company is located near the central town of Chegutu in Zimbabwe, and consists of two distinct operational units: a poultry Growing Section and a poultry Abattoir. With support from AECF teh company seeks to upgrade the SPE’s poultry processing capacity as well as increasing its growing section to ensure continuity through the improved abattoir."
GW,AGRI,SABMiller Plc,4.859363,31.57125,South Sudan,Juba,
AAW,AGRI,Sahel Grains,7.5908801,-1.9343555,Ghana,Techiman,"The company is a high capacity, high-quality, post-harvest grain handling service in Ghana. With support from AECF the company seeks to increase its working & storage capacitity and developing a new business line to produce corn and cassava dough for sale on the local market and eventually for cross border trading"
REACT,REACT,Sandali Wood Industries Limited,-5.0888751,39.1023228,Tanzania,Tanga,
TZAW,AGRI,Sao Hill Agriculture,-6.792354,39.2083284,Tanzania,Dar es Salaam,
TZAW,AGRI,Seed Co Tanzania Limited,-3.3869254,36.6829927,Tanzania,Arusha,
TZAW,AGRI,Serengeti Fresh Ltd,-3.3869254,36.6829927,Tanzania,Arusha,
REACT,REACT,Signature Energy Ventures Limited,-25.891968,32.6051351,Mozambique,Maputo,
REACT,REACT,SimGas BV,-6.792354,39.2083284,Tanzania,Dar es Salaam,
AAW,AGRI,Smart Logistics Solutions,-1.5176837,37.2634146,Kenya,Machakos,
TZAW,AGRI,SmartMoney Tanzania Limited,-2.5164305,32.9174517,Tanzania,Mwanza,
REACT,REACT,Sodea SARL,-3.361378,29.3598782,Burundi,Bujumbura,
REACT,REACT,SolarNow BV,,,uganda,,
PCW,AGRI,Somaliland Beverage Industries,9.562389,44.0770134,Somalia,Hargeisa,
ZIM,AGRI,Sondelani Ranching,-20.1325066,28.626479,Zimbabwe,Bulawayo,
SSW,AGRI,South Farmers Company Ltd,3.8550654,31.656829,South Sudan,Kajo Keji,
ZIM,AGRI,Southcote Estates Pvt Ltd,-16.9556508,27.9717606,Zimbabwe,Kariba,
GW,AGRI,Splash Mobile Money Limited,8.4656765,-13.2317225,Sierra Leone,Free Town,
RIB,AGRI,Stokman Rozen Kenya Limited,-0.7171778,36.4310251,Kenya,Naivasha,
REACT,REACT,Suma Hydro,,,Tanzania,,
AAW,AGRI,Sunshine Agro Products,1.7131812,33.6063855,Uganda,Soroti,
REACT,REACT,Suntransfer Kenya Investment Ltd,-1.2920659,36.8219462,kenya,Nairobi,
RIB,AGRI,Super Sires Genetics Ltd,0.5142775,35.2697802,Kenya,Eldoret,
GW,AGRI,Sybase-Mobicom,,,Zimbabwe,,
ZIM,AGRI,TA Holdings Limited,-17.8251657,31.03351,Zimbabwe,Harare,
GW,AGRI,Tanga Fresh Limited,-5.0888751,39.1023228,Tanzania,Tanga,
PCW,AGRI,Tawakal Livestock Company,9.562389,44.0770134,Somalia,Hargeisa,
REACT,REACT,Teita Estate Limited,-1.2920659,36.8219462,Kenya,Nairobi,
ZIM,AGRI,Tetrad E-Mali (Pvt) Ltd,-17.8251657,31.03351,Zimbabwe,Harare,
RIB,AGRI,The Mediae Company Ltd,-1.2920659,36.8219462,Kenya,Nairobi,
RIB,AGRI,Toguna Agro Industries,12.6392316,-8.0028892,Mali,Bamako,
REACT,REACT,ToughStuff International,,,Kenya,,
ZIM,AGRI,Trandorm Enterprises,-17.7953731,31.1280781,Zimbabwe,Chisipite,
REACT,REACT,Treedom Srl-Let's Green the Planet,,,Kenya,,
REACT,REACT,Tsoni Farms Ltd,-19.7963816,34.8844867,Mozambique,Beira,
TZAW,AGRI,Uncle Milo Sunflower Oil Company,-6.162959,35.7516069,Tanzania,Dodoma,
ZIM,AGRI,Untu Microfinance (Private) Limited,-17.8251657,31.03351,Zimbabwe,Harare,
TZAW,AGRI,Verbruggen Juice Trading BV,-4.9281176,38.904164,Tanzania,Muheza,
PCW,AGRI,Veterinary Service Provider Professional Company - VetCare,,,Somalia,Las'anod,
GW,AGRI,Virtual City,,,Kenya,Nairobi,
GW,AGRI,Western Seed,,,Kenya,Kitale,
GW,AGRI,Yara international,,,Ghana,Accra,
ZIM,AGRI,Yelo Egg (Pvt) Ltd,,,Zimbabwe,Harare,
PCW,AGRI,Zamzam Food Industries,,,Somalia,Hargeisa,
